id,archivo_original
01,Blossom_end_root_12-Copy_png.rf.b22b24eca1b6e85dbfed0cbff8243720.jpg
02,Blossom_end_root_15-Copy_zoom_4_png.rf.8bd26be077f49081bbbe121a5e00408f.jpg
03,Blossom_end_root_19_zoom_3_png.rf.d8d3a96f9a61702774a8f2360a512e6d.jpg
04,Blossom_end_root_19_zoom_5_png.rf.38a2c21cc1c6c8923f517fd407fc6432.jpg
05,Blossom_end_root_2-Copy_png.rf.35145f648d280270e241b6c6fc99fc70.jpg
06,Blossom_end_root_20_zoom_3_png.rf.4eb4423acdcb6b18ce9a1ead4bff1150.jpg
07,Blossom_end_root_36_png.rf.62821315b6209cfafe08025639e184da.jpg
08,Blossom_end_root_5-Copy_zoom_4_png.rf.75651e40dcd691c219bd3e32fb01a94a.jpg
09,Blossom_end_root_6-Copy_png.rf.f1b907464742e223dab7196d0d0997bb.jpg
10,Blossom_end_root_7-Copy_png.rf.6894486a1d9ca2db51990c4bf24b8207.jpg
11,Fruit_Cracking17_zoom_2_jpg.rf.8fe3ca4c0253d6362cb41ea160e915b2.jpg
12,Fruit_Cracking18_jpg.rf.8aeef42e19694828d880769bb2e3ed03.jpg
13,Fruit_Cracking2-Copy_jpg.rf.99e48867c12e43c91e70ee3d1101035e.jpg
14,Fruit_Cracking23_jpg.rf.75a60cd4d81b358a64c511b71ff8a11a.jpg
15,Fruit_Cracking_10-Copy_jpg.rf.82762420242898e58a525d405b7ab769.jpg
16,Fruit_Cracking_16_zoom_4_jpg.rf.e34c1762d81fe6bd7ac459c6782e42a5.jpg
17,Fruit_Cracking_1_jpg.rf.46b5bafab017c1d3c9d734d62419c0ca.jpg
18,Fruit_Cracking_22-Copy_jpg.rf.f3beba9bc06733ff8e5114ae8a3914e1.jpg
19,Fruit_Cracking_6_jpg.rf.5c5ec89fe4635bc190cb1509ab98e89c.jpg
20,Gray_Mold6_jpg.rf.b4296e9f2d72edb873fbac6a82b568d7.jpg
21,Gray_Mold_15_zoom_2_jpg.rf.3d80a53859f459c55c145edb34dd08ed.jpg
22,Gray_Mold_21_jpg.rf.27b8d49047506ea4b1e2de42dde5aeb0.jpg
23,L_blight_13-Copy_jpg.rf.cc0e99d2e2ea78ab9ff3ac479df3c36f.jpg
24,L_blight_25_jpg.rf.c2e6433b9b0354b0ccf5a7cae3177354.jpg
25,L_blight_26_zoom_3_jpg.rf.7f0e787e4ef8a5052c80029f7d381ef0.jpg
26,LateBlight_105_jpg.rf.8f74b28550f8c1d90d40a330e7939991.jpg
27,White_Mold_15_jpg.rf.b96e069b9a3954ab8d33109e965b41c6.jpg
28,White_Mold_21_jpg.rf.de98ff2613aa9d0b7e4c7816755c8a34.jpg
29,White_Mold_24-Copy_jpg.rf.7cfa413d46c8c3045ae246a4b35e490f.jpg
30,White_Mold_4_png.rf.065d4db290cc4653431e82fcc048ebe8.jpg
31,anthracnose21-Copy_jpg.rf.11b909514f8fce10e8e35cd3175cc874.jpg
32,anthracnose22-Copy_jpg.rf.e76ff99e0150043d7c7c10c4420621fc.jpg
33,anthracnose22_zoom_3_jpg.rf.1e8c6151df17a9119c4d438b1a499430.jpg
34,anthracnose22_zoom_5_jpg.rf.56a27bae8276868c3a8fbb1577cd23f4.jpg
35,anthracnose_16_zoom_1_png.rf.ca3aa7d13d4bdf7adb735be05b13fb9e.jpg
36,anthracnose_18_png.rf.207289ef35095182cc6da2f98636f8df.jpg
37,anthracnose_1_zoom_5_png.rf.b117e5dae5dd819ad6267db298800bd4.jpg
38,anthracnose_22_zoom_5_png.rf.3d11370ba582d6d723051534a8ef73f7.jpg
39,anthracnose_2_zoom_4_png.rf.68eadad43b3d71acb369b18ea17f34d6.jpg
40,anthracnose_7-Copy_png.rf.cf9627ac6c930e0f2fe81d04d73cea24.jpg
41,catfaced_10-Copy_png.rf.e94d467c282e2a4f0191d1393d3d594e.jpg
42,catfaced_3-Copy_png.rf.24a0a2512de0a33ec6c1455b05507a63.jpg
43,catfaced_7-Copy-Copy_png.rf.7fa55e206d864d464979a3b5f262f613.jpg
44,h12_jpg.rf.6a99e6502b43f224cb9f51b093ffc2a5.jpg
45,h16_zoom_2_jpg.rf.18124d5c05d1edc79dcb107943352ca6.jpg
46,h17_zoom_4_jpg.rf.dce820477de3eaf81bbd6ff2a41281be.jpg
47,h19_zoom_4_jpg.rf.d9091df427acf9b1b106919f06858e7d.jpg
48,h21_jpg.rf.73c12c7fc6c46dfa52aa72403f3db02f.jpg
49,h53_jpg.rf.d5560dc41cb5d6bd7d371b951c40a420.jpg
50,h62_jpg.rf.eb3304877eeef0b07e3921c8af584912.jpg
51,h63_jpg.rf.e1c393b46665bf825d37132e9aadad8e.jpg
52,h71_jpg.rf.208452356aa12c65c10d13dca7a2ef30.jpg
53,spot20-Copy-2-_jpg.rf.bd54d30c14e2d3cceb3c4412e036b1b7.jpg
54,spot4-Copy-2-_jpg.rf.376e0861122e2d68e5e0ebee90061f91.jpg
